og_coord,closest_coord,dist
"(1856.0, 6236.0)","(1852.0, 6232.0)",5.657
"(1852.0, 6232.0)","(1856.0, 6236.0)",5.657
"(3513.0, 2716.0)","(3520.0, 2715.0)",7.071
"(3520.0, 2715.0)","(3513.0, 2716.0)",7.071
"(3866.0, 5425.0)","(3860.0, 5420.0)",7.81
"(3860.0, 5420.0)","(3866.0, 5425.0)",7.81
"(2189.0, 4870.0)","(2186.0, 4862.0)",8.544
"(3832.0, 3774.0)","(3835.0, 3766.0)",8.544
"(2186.0, 4862.0)","(2189.0, 4870.0)",8.544
"(3835.0, 3766.0)","(3832.0, 3774.0)",8.544
"(1100.0, 8117.0)","(1093.0, 8111.0)",9.22
"(1093.0, 8111.0)","(1100.0, 8117.0)",9.22
"(2912.0, 5002.0)","(2909.0, 4993.0)",9.487
"(2909.0, 4993.0)","(2912.0, 5002.0)",9.487
"(4347.0, 2059.0)","(4352.0, 2050.0)",10.296
"(4352.0, 2050.0)","(4347.0, 2059.0)",10.296
"(1180.0, 8944.0)","(1191.0, 8947.0)",11.402
"(1191.0, 8947.0)","(1180.0, 8944.0)",11.402
"(2757.0, 3616.0)","(2764.0, 3607.0)",11.402
"(3408.0, 2854.0)","(3405.0, 2865.0)",11.402
"(2764.0, 3607.0)","(2757.0, 3616.0)",11.402
"(3405.0, 2865.0)","(3408.0, 2854.0)",11.402
"(3095.0, 5423.0)","(3108.0, 5428.0)",13.928
"(3108.0, 5428.0)","(3095.0, 5423.0)",13.928
"(3731.0, 4623.0)","(3744.0, 4631.0)",15.264
"(3859.0, 2784.0)","(3867.0, 2771.0)",15.264
"(3744.0, 4631.0)","(3731.0, 4623.0)",15.264
"(3867.0, 2771.0)","(3859.0, 2784.0)",15.264
"(3610.0, 3110.0)","(3595.0, 3113.0)",15.297
"(3595.0, 3113.0)","(3610.0, 3110.0)",15.297
"(3506.0, 2730.0)","(3513.0, 2716.0)",15.652
"(1254.0, 7880.0)","(1270.0, 7883.0)",16.279
"(1270.0, 7883.0)","(1254.0, 7880.0)",16.279
"(4830.0, 2257.0)","(4840.0, 2271.0)",17.205
"(1191.0, 9639.0)","(1201.0, 9625.0)",17.205
"(1201.0, 9625.0)","(1191.0, 9639.0)",17.205
"(4840.0, 2271.0)","(4830.0, 2257.0)",17.205
"(2134.0, 4926.0)","(2123.0, 4912.0)",17.804
"(2123.0, 4912.0)","(2134.0, 4926.0)",17.804
"(1875.0, 6092.0)","(1893.0, 6094.0)",18.111
"(1113.0, 9314.0)","(1115.0, 9296.0)",18.111
"(1115.0, 9296.0)","(1113.0, 9314.0)",18.111
"(1893.0, 6094.0)","(1875.0, 6092.0)",18.111
"(1881.0, 4915.0)","(1898.0, 4923.0)",18.788
"(1898.0, 4923.0)","(1881.0, 4915.0)",18.788
"(1014.0, 9357.0)","(1033.0, 9357.0)",19.0
"(1033.0, 9357.0)","(1014.0, 9357.0)",19.0
"(2499.0, 5365.0)","(2481.0, 5372.0)",19.313
"(2481.0, 5372.0)","(2499.0, 5365.0)",19.313
"(4715.0, 2285.0)","(4707.0, 2303.0)",19.698
"(4707.0, 2303.0)","(4715.0, 2285.0)",19.698
"(4071.0, 3286.0)","(4077.0, 3267.0)",19.925
"(1909.0, 4891.0)","(1890.0, 4897.0)",19.925
"(1890.0, 4897.0)","(1909.0, 4891.0)",19.925
"(4077.0, 3267.0)","(4071.0, 3286.0)",19.925
"(4120.0, 1291.0)","(4119.0, 1271.0)",20.025
"(4119.0, 1271.0)","(4120.0, 1291.0)",20.025
"(1194.0, 10004.0)","(1213.0, 10012.0)",20.616
"(1213.0, 10012.0)","(1194.0, 10004.0)",20.616
"(2712.0, 5320.0)","(2712.0, 5341.0)",21.0
