og_coord,closest_coord,dist
"(3807.0, 5575.0)","(3810.0, 5571.0)",5.0
"(3810.0, 5571.0)","(3807.0, 5575.0)",5.0
"(1462.0, 8607.0)","(1459.0, 8602.0)",5.831
"(1459.0, 8602.0)","(1462.0, 8607.0)",5.831
"(2969.0, 4813.0)","(2963.0, 4812.0)",6.083
"(2963.0, 4812.0)","(2969.0, 4813.0)",6.083
"(5010.0, 1807.0)","(5008.0, 1815.0)",8.246
"(2320.0, 4902.0)","(2318.0, 4910.0)",8.246
"(5008.0, 1815.0)","(5010.0, 1807.0)",8.246
"(2318.0, 4910.0)","(2320.0, 4902.0)",8.246
"(4955.0, 2200.0)","(4946.0, 2200.0)",9.0
"(4946.0, 2200.0)","(4955.0, 2200.0)",9.0
"(924.0, 8933.0)","(933.0, 8932.0)",9.055
"(933.0, 8932.0)","(924.0, 8933.0)",9.055
"(3249.0, 5046.0)","(3243.0, 5053.0)",9.22
"(3243.0, 5053.0)","(3249.0, 5046.0)",9.22
"(2694.0, 5204.0)","(2686.0, 5209.0)",9.434
"(2686.0, 5209.0)","(2694.0, 5204.0)",9.434
"(1846.0, 7410.0)","(1853.0, 7403.0)",9.899
"(1853.0, 7403.0)","(1846.0, 7410.0)",9.899
"(2061.0, 9283.0)","(2059.0, 9273.0)",10.198
"(2059.0, 9273.0)","(2061.0, 9283.0)",10.198
"(1419.0, 5129.0)","(1414.0, 5138.0)",10.296
"(1414.0, 5138.0)","(1419.0, 5129.0)",10.296
"(3824.0, 3334.0)","(3821.0, 3324.0)",10.44
"(819.0, 8770.0)","(809.0, 8767.0)",10.44
"(3821.0, 3324.0)","(3824.0, 3334.0)",10.44
"(809.0, 8767.0)","(819.0, 8770.0)",10.44
"(2049.0, 9444.0)","(2039.0, 9448.0)",10.77
"(2039.0, 9448.0)","(2049.0, 9444.0)",10.77
"(4214.0, 2309.0)","(4225.0, 2307.0)",11.18
"(4225.0, 2307.0)","(4214.0, 2309.0)",11.18
"(2539.0, 4797.0)","(2527.0, 4795.0)",12.166
"(2527.0, 4795.0)","(2539.0, 4797.0)",12.166
"(1074.0, 9512.0)","(1083.0, 9522.0)",13.454
"(1083.0, 9522.0)","(1074.0, 9512.0)",13.454
"(3958.0, 3440.0)","(3952.0, 3427.0)",14.318
"(3952.0, 3427.0)","(3958.0, 3440.0)",14.318
"(1417.0, 9354.0)","(1424.0, 9367.0)",14.765
"(1424.0, 9367.0)","(1417.0, 9354.0)",14.765
"(5023.0, 1817.0)","(5008.0, 1815.0)",15.133
"(1001.0, 9979.0)","(1007.0, 9965.0)",15.232
"(1007.0, 9965.0)","(1001.0, 9979.0)",15.232
"(1152.0, 8590.0)","(1137.0, 8587.0)",15.297
"(1137.0, 8587.0)","(1152.0, 8590.0)",15.297
"(3228.0, 4101.0)","(3223.0, 4086.0)",15.811
"(3223.0, 4086.0)","(3228.0, 4101.0)",15.811
"(2215.0, 4920.0)","(2199.0, 4917.0)",16.279
"(3780.0, 3660.0)","(3792.0, 3649.0)",16.279
"(3792.0, 3649.0)","(3780.0, 3660.0)",16.279
"(2199.0, 4917.0)","(2215.0, 4920.0)",16.279
"(3648.0, 2952.0)","(3654.0, 2968.0)",17.088
"(3654.0, 2968.0)","(3648.0, 2952.0)",17.088
"(4293.0, 1251.0)","(4303.0, 1265.0)",17.205
"(4303.0, 1265.0)","(4293.0, 1251.0)",17.205
"(3787.0, 3677.0)","(3780.0, 3660.0)",18.385
