X,Y,cluster_id
5111.0,2010.0,0
5112.0,2033.0,0
5058.0,2001.0,0
2781.0,3692.0,1
2787.0,3689.0,1
2799.0,3753.0,1
2780.0,3703.0,1
3953.0,1057.0,2
4000.0,1032.0,2
3164.0,3928.0,3
3123.0,3962.0,3
1401.0,9576.0,4
1396.0,9629.0,4
1448.0,9573.0,4
2428.0,5391.0,5
2448.0,5396.0,5
2422.0,5420.0,5
2448.0,5342.0,5
2703.0,4973.0,6
2753.0,4963.0,6
1059.0,8915.0,7
999.0,8898.0,7
1045.0,8898.0,7
1001.0,8850.0,7
3714.0,3977.0,8
3789.0,4038.0,8
3743.0,3961.0,8
3745.0,4050.0,8
3774.0,4035.0,8
3730.0,3999.0,8
2454.0,5706.0,9
2424.0,5620.0,9
2443.0,5664.0,9
2402.0,5699.0,9
2460.0,5677.0,9
2466.0,5620.0,9
3063.0,4180.0,10
3135.0,4102.0,10
3111.0,4148.0,10
3113.0,4173.0,10
2796.0,4584.0,11
2776.0,4539.0,11
3765.0,4723.0,12
3816.0,4729.0,12
3771.0,4683.0,12
4627.0,2447.0,13
4580.0,2466.0,13
3924.0,3035.0,14
3925.0,3030.0,14
3920.0,3084.0,14
3956.0,3048.0,14
3552.0,4326.0,15
3514.0,4354.0,15
1919.0,6787.0,16
1910.0,6806.0,16
1958.0,6765.0,16
1267.0,9140.0,17
1268.0,9087.0,17
1312.0,9166.0,17
1164.0,9898.0,18
1201.0,9928.0,18
1112.0,9887.0,18
1842.0,6391.0,19
1810.0,6355.0,19
4959.0,2305.0,20
4950.0,2255.0,20
1801.0,9247.0,21
1756.0,9228.0,21
4021.0,5836.0,22
4072.0,5839.0,22
687.0,8927.0,23
639.0,8921.0,23
636.0,8952.0,23
624.0,8895.0,23
945.0,9294.0,24
929.0,9330.0,24
2677.0,5603.0,25
2677.0,5556.0,25
3335.0,3413.0,26
3378.0,3370.0,26
3345.0,3403.0,26
1916.0,6478.0,27
1967.0,6470.0,27
1974.0,6467.0,27
1946.0,6515.0,27
1889.0,6462.0,27
4188.0,2298.0,28
4206.0,2339.0,28
5082.0,1899.0,29
5103.0,1943.0,29
2954.0,4344.0,30
2963.0,4389.0,30
4788.0,2003.0,31
4768.0,1989.0,31
4816.0,2039.0,31
3565.0,3614.0,32
3559.0,3600.0,32
3571.0,3656.0,32
4365.0,2146.0,33
4400.0,2174.0,33
4395.0,2167.0,33
5173.0,1866.0,34
5164.0,1829.0,34
5207.0,1835.0,34
3287.0,4831.0,35
3312.0,4802.0,35
3261.0,4841.0,35
3394.0,5279.0,36
3349.0,5252.0,36
2598.0,4686.0,37
2644.0,4711.0,37
3862.0,5659.0,38
3890.0,5657.0,38
3501.0,4799.0,39
3502.0,4774.0,39
1039.0,9275.0,40
1041.0,9232.0,40
2454.0,4977.0,41
2446.0,4996.0,41
2426.0,4969.0,41
2498.0,4962.0,41
2408.0,5028.0,41
2674.0,4392.0,42
2708.0,4422.0,42
4643.0,2306.0,43
4623.0,2345.0,43
1004.0,8173.0,44
1045.0,8198.0,44
1084.0,8179.0,44
3823.0,5559.0,45
3868.0,5567.0,45
3791.0,5579.0,45
4089.0,6009.0,46
4086.0,5982.0,46
4863.0,2229.0,47
3473.0,3180.0,48
3428.0,3177.0,48
1481.0,8755.0,49
1482.0,8762.0,49
1325.0,8414.0,50
3385.0,2360.0,51
3411.0,2383.0,51
2808.0,5073.0,52
2849.0,5079.0,52
3088.0,5272.0,53
3134.0,5275.0,53
2825.0,3544.0,54
2819.0,3576.0,54
3522.0,3004.0,55
3487.0,3024.0,55
3474.0,3043.0,55
3738.0,4287.0,56
3717.0,4287.0,56
3593.0,5049.0,57
3626.0,5049.0,57
3013.0,3869.0,58
2985.0,3829.0,58
3044.0,3858.0,58
3015.0,3857.0,58
1272.0,8237.0,59
1276.0,8282.0,59
3894.0,4501.0,60
3865.0,4521.0,60
3508.0,3367.0,61
3544.0,3371.0,61
1030.0,8744.0,62
1028.0,8707.0,62
2706.0,4595.0,63
3894.0,3995.0,64
3861.0,4059.0,64
3877.0,4036.0,64
1234.0,8687.0,65
1249.0,8696.0,65
1240.0,8705.0,65
3677.0,4975.0,66
3966.0,2570.0,67
3965.0,2537.0,67
3975.0,2569.0,67
3360.0,5387.0,68
3381.0,5412.0,68
3496.0,4204.0,69
3508.0,4231.0,69
3405.0,2669.0,70
3382.0,2666.0,70
3013.0,4986.0,71
3027.0,4960.0,71
4456.0,1753.0,72
4242.0,1491.0,73
4215.0,1525.0,73
4684.0,2218.0,74
4640.0,2238.0,74
2574.0,5345.0,75
2550.0,5378.0,75
2621.0,5368.0,75
2536.0,5364.0,75
3725.0,3035.0,76
3729.0,3028.0,76
3743.0,2982.0,76
3681.0,3850.0,77
3692.0,3870.0,77
2079.0,4926.0,78
3277.0,2353.0,79
3282.0,2345.0,79
3281.0,2369.0,79
3825.0,2478.0,80
3839.0,2490.0,80
4344.0,1820.0,81
3467.0,2814.0,82
3501.0,2809.0,82
3891.0,3628.0,83
3857.0,3554.0,83
3876.0,3581.0,83
3736.0,2674.0,84
3734.0,2716.0,84
2236.0,4859.0,85
2207.0,4877.0,85
2755.0,5650.0,86
2733.0,5616.0,86
2744.0,5657.0,86
2931.0,3685.0,87
2936.0,3700.0,87
2155.0,4903.0,88
2134.0,4920.0,88
5020.0,2041.0,89
4977.0,2050.0,89
2549.0,5699.0,90
2523.0,5684.0,90
761.0,8797.0,91
746.0,8829.0,91
761.0,8871.0,91
750.0,8833.0,91
2974.0,3564.0,92
3041.0,3548.0,92
3017.0,3556.0,92
4294.0,2229.0,93
4284.0,2223.0,93
3662.0,3776.0,94
3666.0,3786.0,94
3528.0,4899.0,95
3789.0,3914.0,96
2999.0,3441.0,97
3202.0,5460.0,98
3232.0,5455.0,98
4332.0,2001.0,99
3532.0,5220.0,100
3584.0,5353.0,101
2944.0,5538.0,102
1900.0,7440.0,103
3943.0,3414.0,104
3802.0,2825.0,105
2554.0,4597.0,106
1822.0,9301.0,107
