og_coord,closest_coord,dist
"(3307.0, 2682.0)","(3304.0, 2689.0)",7.616
"(3304.0, 2689.0)","(3307.0, 2682.0)",7.616
"(4037.0, 3176.0)","(4038.0, 3168.0)",8.062
"(4038.0, 3168.0)","(4037.0, 3176.0)",8.062
"(3961.0, 5524.0)","(3963.0, 5532.0)",8.246
"(3963.0, 5532.0)","(3961.0, 5524.0)",8.246
"(1067.0, 9275.0)","(1074.0, 9267.0)",10.63
"(1074.0, 9267.0)","(1067.0, 9275.0)",10.63
"(2044.0, 7252.0)","(2045.0, 7263.0)",11.045
"(2045.0, 7263.0)","(2044.0, 7252.0)",11.045
"(3576.0, 4634.0)","(3565.0, 4639.0)",12.083
"(3263.0, 4775.0)","(3274.0, 4780.0)",12.083
"(3274.0, 4780.0)","(3263.0, 4775.0)",12.083
"(3565.0, 4639.0)","(3576.0, 4634.0)",12.083
"(1354.0, 8194.0)","(1364.0, 8187.0)",12.207
"(1364.0, 8187.0)","(1354.0, 8194.0)",12.207
"(3267.0, 3355.0)","(3255.0, 3358.0)",12.369
"(3255.0, 3358.0)","(3267.0, 3355.0)",12.369
"(3272.0, 4793.0)","(3274.0, 4780.0)",13.153
"(1456.0, 8458.0)","(1450.0, 8446.0)",13.416
"(1450.0, 8446.0)","(1456.0, 8458.0)",13.416
"(3740.0, 5335.0)","(3750.0, 5344.0)",13.454
"(3750.0, 5344.0)","(3740.0, 5335.0)",13.454
"(1266.0, 8332.0)","(1277.0, 8323.0)",14.213
"(1277.0, 8323.0)","(1266.0, 8332.0)",14.213
"(4567.0, 2391.0)","(4581.0, 2396.0)",14.866
"(4581.0, 2396.0)","(4567.0, 2391.0)",14.866
"(3740.0, 4915.0)","(3739.0, 4930.0)",15.033
"(3739.0, 4930.0)","(3740.0, 4915.0)",15.033
"(602.0, 8869.0)","(617.0, 8865.0)",15.524
"(617.0, 8865.0)","(602.0, 8869.0)",15.524
"(2360.0, 5630.0)","(2348.0, 5640.0)",15.62
"(2348.0, 5640.0)","(2360.0, 5630.0)",15.62
"(3440.0, 3998.0)","(3426.0, 3991.0)",15.652
"(3426.0, 3991.0)","(3440.0, 3998.0)",15.652
"(3233.0, 5461.0)","(3233.0, 5445.0)",16.0
"(3233.0, 5445.0)","(3233.0, 5461.0)",16.0
"(1959.0, 9345.0)","(1965.0, 9329.0)",17.088
"(1965.0, 9329.0)","(1959.0, 9345.0)",17.088
"(3451.0, 3571.0)","(3466.0, 3562.0)",17.493
"(3466.0, 3562.0)","(3451.0, 3571.0)",17.493
"(2946.0, 4390.0)","(2961.0, 4379.0)",18.601
"(2961.0, 4379.0)","(2946.0, 4390.0)",18.601
"(2618.0, 5318.0)","(2634.0, 5308.0)",18.868
"(2634.0, 5308.0)","(2618.0, 5318.0)",18.868
